refined_rfe,count
cough,420297
fever,290951
rash,41256
abdominal pain,25919
fall,21494
wheezing,8961
r,6194
trauma,4073
dog bite,4042
s,3337
e,2909
"vomiting,",2723
vomiting,1959
w,1912
wound,1619
eye,1508
"blunt trauma,",1442
arv 2nd dose,1420
"worms/other parasites,",1346
arv 3rd dose,1341
rta,1331
"trauma/injury nos,",1321
arv 4th dose,1143
rti,1103
ent,1063
"diarrhoea,",1024
t,896
n,804
d,777
trauma to head,735
ba,701
loose motion,689
sob,678
ear pain,678
rat bite,633
ln,603
uti,578
allergy,570
worm,566
lump,528
v,522
bow legs,522
leg pain,516
sore throat,510
dysuria,491
abd p,484
"eye pain,",477
gastritis,469
"red eye,",464
squint,461
dysurea,424
red eye,416
poor vision,415
loose stools,401
assault,401
phymosis,391
ear,376
age,372
poor wt gain,354
dental,351
m,337
wounds,318
loose stool,304
pain,298
vision,279
warts,277
suture removal,276
burn,271
trauma to eye,269
"animal bite,",261
joint pain,259
throat pain,252
taenia,251
diarrhoea,247
loa,247
vomitting,245
urti,242
burn injury,242
rsh,225
trauma to l/eye,221
wax,219
"warts,",219
ear wax,216
sx,213
phimosis,211
"heart/arterial murmur nos,",211
st,208
low hb,205
murmur,197
worm rx,193
sorethroat,192
"impetigo,",191
abd,188
orth,187
trauma to r/eye,183
kj pain,181
trauma to nose,177
poor weight gain,177
psy,167
wt,166
disuria,162
sk,159
pityriasis,157
trauma to l eye,156
warm,152
.,150
nasal bleeding,145
pustules,145
impetigo,145
h,143
"head injury,",139
house rat bite,136
trauma to r/hand,136
ugh,135
trauma to r eye,134
tinea,131
tonsilitis,130
tongue tie,130
x,129
stye,127
p,127
runny nose,124
as,124
arv 2nd,123
trauma to l/hand,122
hair loss,121
hot water burn,121
tooth,117
worms,117
tearing,116
eye pain,116
ab. pain,114
wart,113
lrti,112
"vomiting,diarrhoea,",111
arv 3rd,111
trauma to right eye,110
wheeze,109
sore tr,109
"weight loss,",109
pustuls,108
a,107
abd. p.,107
pulled elbow,106
sports injury,106
"obesity,",104
abn gait,103
vomiting 1d,102
obesity,101
dys,99
bleeding pr,99
knee pain,99
noisy breathing,98
hernia,97
abnormal gait,95
sneezing,94
worm tr,92
otitis media,92
sinusitis,92
l,89
worm tx,89
2nd visit,88
"inguinal hernia,",88
bowing legs,87
rasg,85
"urine test,",85
"vertigo/dizziness,",84
arv 4th,82
vision problem,81
blunt trauma,80
jt pain,79
"swelling,",79
"v,d",79
"diarrhoea,vomiting,",79
loose stool 1d,79
diarrhea,78
tenia,77
poor hearing,76
head injury,76
"hair loss/baldness,",76
sweat rsh,75
hypopigmentation,75
vomi,75
baw legs,75
"assult,",75
worm treatment,75
weezing,74
b,74
ortho,74
gastroentritis,74
"diarrhoea,vomiting",73
"allergy,",73
twisted ankle,73
trauma to mouth,71
"eye movements abnormal,",70
vertigo,70
as requested,69
sr,69
balanitis,69
trauma to r/ear,69
lower abd p,68
dental pain,68
pain in ls elbow,67
arv,67
upper abd p,66
trauma to l hand,65
"haematuria,",65
blisters,64
lymphadinitis,64
wound dressing,64
body pain,63
impaired vision,63
bony lump,63
ear dis,63
periorbital swelling,62
trauma to r/leg,62
pit alba,62
epi pain,62
no,61
aluham,61
rhinitis,61
soe throat,61
pull elbow,60
suture,60
trauma to r hand,59
supplementary report,59
dog  bite,58
trauma to l/leg,58
adhd,58
abnormal behaviour,58
"dyspepsia/indigestion,",57
"vomiting,diarrhoea",57
low weight,57
red eyes,56
med,56
kerion,56
trauma to ear,56
sq,55
polyurea,55
u,54
minor trauma to head,53
ht murmur,52
haematuria,52
"sob,",52
"eye sensation abnormal,",52
mild wheez,52
trauma to l/ear,51
verm treatment,51
vom,51
hb,50
squirrel bite,50
l n,50
"nose bleed/epistaxis,",50
ankle sprain,49
enlarge ln,49
"pain general/multiple sites,",49
gord,49
bitten by a dog,48
joint p,47
trauma to right hand,47
blurred vision,47
"pityriasis rosea,",46
eye injury,46
enlarged ln,46
trauma l/eye,46
"sweating problem,",46
breast lump,46
nausea,45
stammering,44
limping,44
wheez,44
vitiligo,44
pymosis,44
ganglion,43
r/ear pain,43
"loose stool,vomiting 1d",43
short stature,43
bl,43
anaemia,43
eye trauma,43
pustule,43
sepsis,43
dressing,43
trauma to hand,42
"d,v",42
swelling,42
